arm,scope,n,complete_supported_count,false_answered_proxy_count,forbidden_exposed_count,required_term_coverage,mean_latency_ms,p50_latency_ms,p95_latency_ms,p95_method,model_calls,source_unchanged
before,CONTROLLED_RETRIEVAL_REAL_LOCAL_GENERATION_DEVELOPMENT_ONLY,12,6,0,0,0.6666666666666666,561.3346333332933,617.8367000029539,1222.1113000014157,"nearest-rank, n=12, equals maximum",8,True
structure,CONTROLLED_RETRIEVAL_REAL_LOCAL_GENERATION_DEVELOPMENT_ONLY,12,8,0,0,0.8571428571428571,761.8219916669963,708.9478000016243,1774.2062000033911,"nearest-rank, n=12, equals maximum",10,True
advisor,CONTROLLED_RETRIEVAL_REAL_LOCAL_GENERATION_DEVELOPMENT_ONLY,12,8,0,0,0.8571428571428571,2050.1253166673146,2110.141699999076,3378.5462000014377,"nearest-rank, n=12, equals maximum",31,True
advisor_utf8_retrospective_diagnostic,CONTROLLED_RETRIEVAL_REAL_LOCAL_GENERATION_DEVELOPMENT_ONLY,12,8,0,0,0.8571428571428571,1489.9546000006012,1450.3359000009368,2758.8255000009667,"nearest-rank, n=12, equals maximum",31,True
